experiment,task,seed,dims,n_train,n_cal,n_test,shift,holes_label,model,model_params,calib_classification,calib_regression,alpha,calib_thresholded,t_values,knn_k,de_weights,ablation,run_dir,delta_ece_weight_high_low,faith_delta_density_in,faith_delta_density_out,faith_delta_eta_in,faith_delta_eta_out,auc_adv_de_vs_eta,auc_adv_de_vs_random,stability_delta_density,stability_delta_eta
ce_paper_core_v1,classification,1,2,2000,400,2000,0.0,none,dt,"{""max_depth"": 6}",venn_abers,,,,null,40,"{""disagreement"": 0.3, ""inv_density"": 0.2, ""nonconformity"": 0.5}",none,run_classification_seed1_dims2_ncal400_modeldt_b031c664,-0.04804798503644301,0.012789878407478368,-0.01699165184027074,nan,nan,-0.022612499999999924,-0.006374999999999964,0.0,0.0
ce_paper_core_v1,classification,1,2,2000,400,2000,0.2,none,dt,"{""max_depth"": 6}",venn_abers,,,,null,40,"{""disagreement"": 0.3, ""inv_density"": 0.2, ""nonconformity"": 0.5}",none,run_classification_seed1_dims2_ncal400_modeldt_c79ca802,-0.06189518773487706,-0.01601794453210542,0.0005342979532824144,nan,nan,-0.021187500000000026,-0.010912500000000047,0.0,0.0
ce_paper_core_v1,classification,1,2,2000,400,2000,0.0,small,dt,"{""max_depth"": 6}",venn_abers,,,,null,40,"{""disagreement"": 0.3, ""inv_density"": 0.2, ""nonconformity"": 0.5}",none,run_classification_seed1_dims2_ncal400_modeldt_d831a069,-0.0667745891992907,0.01845221749075497,-0.010685444296370306,nan,nan,-0.02084999999999998,-0.011512499999999926,0.0,0.0
ce_paper_core_v1,classification,1,2,2000,400,2000,0.2,small,dt,"{""max_depth"": 6}",venn_abers,,,,null,40,"{""disagreement"": 0.3, ""inv_density"": 0.2, ""nonconformity"": 0.5}",none,run_classification_seed1_dims2_ncal400_modeldt_eca35426,-0.07935396160339972,0.007899452014239389,-0.045284587076506067,nan,nan,-0.013949999999999907,-0.0044999999999999485,0.0,0.0
ce_paper_core_v1,classification,1,2,2000,400,2000,0.2,none,rf,"{""max_depth"": null, ""n_estimators"": 200}",venn_abers,,,,null,40,"{""disagreement"": 0.3, ""inv_density"": 0.2, ""nonconformity"": 0.5}",none,run_classification_seed1_dims2_ncal400_modelrf_40fa2197,-0.05567840878556525,0.011490230203573065,-0.028521634283772856,nan,nan,0.0028312499999998963,0.004462499999999925,0.0,0.0
ce_paper_core_v1,classification,1,2,2000,400,2000,0.0,small,rf,"{""max_depth"": null, ""n_estimators"": 200}",venn_abers,,,,null,40,"{""disagreement"": 0.3, ""inv_density"": 0.2, ""nonconformity"": 0.5}",none,run_classification_seed1_dims2_ncal400_modelrf_4bf5dda0,-0.03982944043585982,0.005395078001197096,-0.021662191788374585,-0.2080213138225062,0.2821621794815741,0.004462500000000036,0.011175000000000046,0.0,0.0
ce_paper_core_v1,classification,1,2,2000,400,2000,0.2,small,rf,"{""max_depth"": null, ""n_estimators"": 200}",venn_abers,,,,null,40,"{""disagreement"": 0.3, ""inv_density"": 0.2, ""nonconformity"": 0.5}",none,run_classification_seed1_dims2_ncal400_modelrf_50505da8,-0.08519247651452874,0.02022992771023091,-0.08857441011014078,-0.3291056458994868,0.16264520470691957,0.012974999999999959,0.01839374999999993,0.0,0.0
ce_paper_core_v1,classification,1,2,2000,400,2000,0.0,none,rf,"{""max_depth"": null, ""n_estimators"": 200}",venn_abers,,,,null,40,"{""disagreement"": 0.3, ""inv_density"": 0.2, ""nonconformity"": 0.5}",none,run_classification_seed1_dims2_ncal400_modelrf_8deea78d,-0.03294626520894503,0.05163072410161321,-0.03459216995083991,-0.316369340059842,0.16143523763873857,-0.0029437499999999672,0.011531249999999993,0.0,0.0
ce_paper_core_v1,classification,2,2,2000,100,2000,0.2,none,dt,"{""max_depth"": 6}",venn_abers,,,,null,40,"{""disagreement"": 0.3, ""inv_density"": 0.2, ""nonconformity"": 0.5}",none,run_classification_seed2_dims2_ncal100_modeldt_6adbfe0b,-0.008671144802844734,0.03701622119216852,-0.03989391984083912,nan,nan,-0.015093749999999961,-0.001537499999999914,0.0,0.0
ce_paper_core_v1,classification,2,2,2000,100,2000,0.2,small,dt,"{""max_depth"": 6}",venn_abers,,,,null,40,"{""disagreement"": 0.3, ""inv_density"": 0.2, ""nonconformity"": 0.5}",none,run_classification_seed2_dims2_ncal100_modeldt_82ccf780,-0.13248269951141284,0.026087779173277925,-0.07621722163259576,-0.46242502418850223,-0.022225911708711577,-0.010050000000000003,0.00980624999999996,0.0,0.0
ce_paper_core_v1,classification,2,2,2000,100,2000,0.0,small,dt,"{""max_depth"": 6}",venn_abers,,,,null,40,"{""disagreement"": 0.3, ""inv_density"": 0.2, ""nonconformity"": 0.5}",none,run_classification_seed2_dims2_ncal100_modeldt_b0f84a77,-0.11512573301907372,0.045163188228031906,-0.02115418793732149,nan,nan,-0.014718750000000058,-0.00011250000000007088,0.0,0.0
ce_paper_core_v1,classification,2,2,2000,100,2000,0.0,none,dt,"{""max_depth"": 6}",venn_abers,,,,null,40,"{""disagreement"": 0.3, ""inv_density"": 0.2, ""nonconformity"": 0.5}",none,run_classification_seed2_dims2_ncal100_modeldt_ee841a74,-0.04319305667515457,0.03855279409233651,0.006152461180223612,nan,nan,-0.010518749999999966,0.0007500000000000839,0.0,0.0
ce_paper_core_v1,classification,2,2,2000,100,2000,0.0,small,rf,"{""max_depth"": null, ""n_estimators"": 200}",venn_abers,,,,null,40,"{""disagreement"": 0.3, ""inv_density"": 0.2, ""nonconformity"": 0.5}",none,run_classification_seed2_dims2_ncal100_modelrf_0c52e0f4,-0.028398893542291217,0.055018027410081174,-0.02838889001194511,nan,nan,0.004762500000000003,0.020268750000000002,0.0,0.0
ce_paper_core_v1,classification,2,2,2000,100,2000,0.2,small,rf,"{""max_depth"": null, ""n_estimators"": 200}",venn_abers,,,,null,40,"{""disagreement"": 0.3, ""inv_density"": 0.2, ""nonconformity"": 0.5}",none,run_classification_seed2_dims2_ncal100_modelrf_1d1e0f23,-0.01583679343661444,0.028389509966909622,-0.0933995270665603,-0.4265138767322511,0.2392815757926644,-3.7499999999968114e-05,0.02236875000000005,0.0,0.0
ce_paper_core_v1,classification,2,2,2000,100,2000,0.0,none,rf,"{""max_depth"": null, ""n_estimators"": 200}",venn_abers,,,,null,40,"{""disagreement"": 0.3, ""inv_density"": 0.2, ""nonconformity"": 0.5}",none,run_classification_seed2_dims2_ncal100_modelrf_21aabb9c,-0.04255171793775556,0.04275754508277112,-0.06028906319016869,-0.42801187919888867,0.0011550571582849,0.007668749999999891,0.015693749999999895,0.0,0.0
ce_paper_core_v1,classification,2,2,2000,100,2000,0.2,none,rf,"{""max_depth"": null, ""n_estimators"": 200}",venn_abers,,,,null,40,"{""disagreement"": 0.3, ""inv_density"": 0.2, ""nonconformity"": 0.5}",none,run_classification_seed2_dims2_ncal100_modelrf_742ab977,-0.07013209035117403,0.03871418107417647,-0.14315014010946148,-0.38512585994102344,-0.06524807857981235,0.018074999999999897,0.02034374999999994,0.0,0.0
ce_paper_core_v1,classification,2,2,2000,400,2000,0.2,small,dt,"{""max_depth"": 6}",venn_abers,,,,null,40,"{""disagreement"": 0.3, ""inv_density"": 0.2, ""nonconformity"": 0.5}",none,run_classification_seed2_dims2_ncal400_modeldt_2f6c4826,-0.07101250782232835,-0.03775315695938649,0.022068939998105663,nan,nan,-0.02270625000000004,-0.00714375000000006,0.0,0.0
ce_paper_core_v1,classification,2,2,2000,400,2000,0.0,none,dt,"{""max_depth"": 6}",venn_abers,,,,null,40,"{""disagreement"": 0.3, ""inv_density"": 0.2, ""nonconformity"": 0.5}",none,run_classification_seed2_dims2_ncal400_modeldt_556c215d,-0.018121643589677126,-0.06363036036759478,0.033785621991504144,nan,nan,-0.02690625000000002,-0.010143750000000007,0.0,0.0
ce_paper_core_v1,classification,2,2,2000,400,2000,0.2,none,dt,"{""max_depth"": 6}",venn_abers,,,,null,40,"{""disagreement"": 0.3, ""inv_density"": 0.2, ""nonconformity"": 0.5}",none,run_classification_seed2_dims2_ncal400_modeldt_7677eca1,-0.044753464828280534,-0.09019678343204679,-0.049248244383570394,-0.5875754964689276,-0.14397828010236458,-0.01860000000000006,-0.0034875000000000878,0.0,0.0
ce_paper_core_v1,classification,2,2,2000,400,2000,0.0,small,dt,"{""max_depth"": 6}",venn_abers,,,,null,40,"{""disagreement"": 0.3, ""inv_density"": 0.2, ""nonconformity"": 0.5}",none,run_classification_seed2_dims2_ncal400_modeldt_aabc57b2,-0.015425569828266622,-0.006143111352726868,0.03796238271059116,-0.3657361929189573,-0.10584541795455482,-0.02454375000000003,-0.00798749999999998,0.0,0.0
ce_paper_core_v1,classification,2,2,2000,400,2000,0.2,small,rf,"{""max_depth"": null, ""n_estimators"": 200}",venn_abers,,,,null,40,"{""disagreement"": 0.3, ""inv_density"": 0.2, ""nonconformity"": 0.5}",none,run_classification_seed2_dims2_ncal400_modelrf_21404da8,-0.03839754877229516,-0.021051843215514274,-0.06137961576550344,-0.2520326014034076,0.11356638084835968,0.02045625000000001,0.035587500000000105,0.0,0.0
ce_paper_core_v1,classification,2,2,2000,400,2000,0.0,small,rf,"{""max_depth"": null, ""n_estimators"": 200}",venn_abers,,,,null,40,"{""disagreement"": 0.3, ""inv_density"": 0.2, ""nonconformity"": 0.5}",none,run_classification_seed2_dims2_ncal400_modelrf_40d163f3,-0.0036612489083787184,0.003767956473181927,-0.019566869385105434,-0.22575766537102715,0.15059479673753529,0.005699999999999872,0.024974999999999914,0.0,0.0
ce_paper_core_v1,classification,2,2,2000,400,2000,0.2,none,rf,"{""max_depth"": null, ""n_estimators"": 200}",venn_abers,,,,null,40,"{""disagreement"": 0.3, ""inv_density"": 0.2, ""nonconformity"": 0.5}",none,run_classification_seed2_dims2_ncal400_modelrf_c26545c8,-0.025487118742188127,-0.027711057977132303,-0.13423722792276666,-0.22571739756775644,0.11609394439978682,-0.0030000000000000027,0.01623750000000007,0.0,0.0
ce_paper_core_v1,classification,2,2,2000,400,2000,0.0,none,rf,"{""max_depth"": null, ""n_estimators"": 200}",venn_abers,,,,null,40,"{""disagreement"": 0.3, ""inv_density"": 0.2, ""nonconformity"": 0.5}",none,run_classification_seed2_dims2_ncal400_modelrf_d015b898,-0.05339170024318902,0.053583425986224134,-0.01745265111015848,nan,nan,0.0001500000000000945,0.015750000000000097,0.0,0.0
ce_paper_core_v1,regression,0,2,2000,100,2000,0.2,none,dt,"{""max_depth"": 6}",,split_cp,0.1,,null,40,"{""disagreement"": 0.3, ""inv_density"": 0.2, ""nonconformity"": 0.5}",none,run_regression_seed0_dims2_ncal100_modeldt_375af5b5,nan,nan,nan,nan,nan,nan,nan,nan,nan
ce_paper_core_v1,regression,0,2,2000,100,2000,0.0,none,dt,"{""max_depth"": 6}",,split_cp,0.1,,null,40,"{""disagreement"": 0.3, ""inv_density"": 0.2, ""nonconformity"": 0.5}",none,run_regression_seed0_dims2_ncal100_modeldt_46517917,nan,nan,nan,nan,nan,nan,nan,nan,nan
ce_paper_core_v1,regression,0,2,2000,100,2000,0.0,small,dt,"{""max_depth"": 6}",,jackknife_plus,0.1,,null,40,"{""disagreement"": 0.3, ""inv_density"": 0.2, ""nonconformity"": 0.5}",none,run_regression_seed0_dims2_ncal100_modeldt_6eec0768,nan,nan,nan,nan,nan,nan,nan,nan,nan
ce_paper_core_v1,regression,0,2,2000,100,2000,0.2,small,dt,"{""max_depth"": 6}",,split_cp,0.1,,null,40,"{""disagreement"": 0.3, ""inv_density"": 0.2, ""nonconformity"": 0.5}",none,run_regression_seed0_dims2_ncal100_modeldt_89f154eb,nan,nan,nan,nan,nan,nan,nan,nan,nan
ce_paper_core_v1,regression,0,2,2000,100,2000,0.0,small,dt,"{""max_depth"": 6}",,split_cp,0.1,,null,40,"{""disagreement"": 0.3, ""inv_density"": 0.2, ""nonconformity"": 0.5}",none,run_regression_seed0_dims2_ncal100_modeldt_98eae6e7,nan,nan,nan,nan,nan,nan,nan,nan,nan
ce_paper_core_v1,regression,0,2,2000,100,2000,0.0,none,dt,"{""max_depth"": 6}",,jackknife_plus,0.1,,null,40,"{""disagreement"": 0.3, ""inv_density"": 0.2, ""nonconformity"": 0.5}",none,run_regression_seed0_dims2_ncal100_modeldt_c23fe9e2,nan,nan,nan,nan,nan,nan,nan,nan,nan
ce_paper_core_v1,regression,0,2,2000,100,2000,0.2,none,dt,"{""max_depth"": 6}",,jackknife_plus,0.1,,null,40,"{""disagreement"": 0.3, ""inv_density"": 0.2, ""nonconformity"": 0.5}",none,run_regression_seed0_dims2_ncal100_modeldt_d02bfc6c,nan,nan,nan,nan,nan,nan,nan,nan,nan
ce_paper_core_v1,regression,0,2,2000,100,2000,0.2,small,dt,"{""max_depth"": 6}",,jackknife_plus,0.1,,null,40,"{""disagreement"": 0.3, ""inv_density"": 0.2, ""nonconformity"": 0.5}",none,run_regression_seed0_dims2_ncal100_modeldt_f19fcd22,nan,nan,nan,nan,nan,nan,nan,nan,nan
ce_paper_core_v1,regression,0,2,2000,100,2000,0.0,none,rf,"{""max_depth"": null, ""n_estimators"": 200}",,jackknife_plus,0.1,,null,40,"{""disagreement"": 0.3, ""inv_density"": 0.2, ""nonconformity"": 0.5}",none,run_regression_seed0_dims2_ncal100_modelrf_0f7e7bc1,nan,nan,nan,nan,nan,nan,nan,nan,nan
ce_paper_core_v1,regression,0,2,2000,100,2000,0.2,small,rf,"{""max_depth"": null, ""n_estimators"": 200}",,split_cp,0.1,,null,40,"{""disagreement"": 0.3, ""inv_density"": 0.2, ""nonconformity"": 0.5}",none,run_regression_seed0_dims2_ncal100_modelrf_28ae4ec5,nan,nan,nan,nan,nan,nan,nan,nan,nan
ce_paper_core_v1,regression,0,2,2000,100,2000,0.2,none,rf,"{""max_depth"": null, ""n_estimators"": 200}",,split_cp,0.1,,null,40,"{""disagreement"": 0.3, ""inv_density"": 0.2, ""nonconformity"": 0.5}",none,run_regression_seed0_dims2_ncal100_modelrf_4ba52e38,nan,nan,nan,nan,nan,nan,nan,nan,nan
ce_paper_core_v1,regression,0,2,2000,100,2000,0.0,small,rf,"{""max_depth"": null, ""n_estimators"": 200}",,split_cp,0.1,,null,40,"{""disagreement"": 0.3, ""inv_density"": 0.2, ""nonconformity"": 0.5}",none,run_regression_seed0_dims2_ncal100_modelrf_56a3a6a9,nan,nan,nan,nan,nan,nan,nan,nan,nan
ce_paper_core_v1,regression,0,2,2000,100,2000,0.2,small,rf,"{""max_depth"": null, ""n_estimators"": 200}",,jackknife_plus,0.1,,null,40,"{""disagreement"": 0.3, ""inv_density"": 0.2, ""nonconformity"": 0.5}",none,run_regression_seed0_dims2_ncal100_modelrf_926aba76,nan,nan,nan,nan,nan,nan,nan,nan,nan
ce_paper_core_v1,regression,0,2,2000,100,2000,0.0,small,rf,"{""max_depth"": null, ""n_estimators"": 200}",,jackknife_plus,0.1,,null,40,"{""disagreement"": 0.3, ""inv_density"": 0.2, ""nonconformity"": 0.5}",none,run_regression_seed0_dims2_ncal100_modelrf_b23fae30,nan,nan,nan,nan,nan,nan,nan,nan,nan
ce_paper_core_v1,regression,0,2,2000,100,2000,0.2,none,rf,"{""max_depth"": null, ""n_estimators"": 200}",,jackknife_plus,0.1,,null,40,"{""disagreement"": 0.3, ""inv_density"": 0.2, ""nonconformity"": 0.5}",none,run_regression_seed0_dims2_ncal100_modelrf_e83f41c8,nan,nan,nan,nan,nan,nan,nan,nan,nan
ce_paper_core_v1,regression,0,2,2000,100,2000,0.0,none,rf,"{""max_depth"": null, ""n_estimators"": 200}",,split_cp,0.1,,null,40,"{""disagreement"": 0.3, ""inv_density"": 0.2, ""nonconformity"": 0.5}",none,run_regression_seed0_dims2_ncal100_modelrf_edad8d63,nan,nan,nan,nan,nan,nan,nan,nan,nan
ce_paper_core_v1,regression,0,2,2000,400,2000,0.0,none,dt,"{""max_depth"": 6}",,split_cp,0.1,,null,40,"{""disagreement"": 0.3, ""inv_density"": 0.2, ""nonconformity"": 0.5}",none,run_regression_seed0_dims2_ncal400_modeldt_0f7ce2b5,nan,nan,nan,nan,nan,nan,nan,nan,nan
ce_paper_core_v1,regression,0,2,2000,400,2000,0.2,none,dt,"{""max_depth"": 6}",,split_cp,0.1,,null,40,"{""disagreement"": 0.3, ""inv_density"": 0.2, ""nonconformity"": 0.5}",none,run_regression_seed0_dims2_ncal400_modeldt_30fc6f91,nan,nan,nan,nan,nan,nan,nan,nan,nan
ce_paper_core_v1,regression,0,2,2000,400,2000,0.2,small,dt,"{""max_depth"": 6}",,jackknife_plus,0.1,,null,40,"{""disagreement"": 0.3, ""inv_density"": 0.2, ""nonconformity"": 0.5}",none,run_regression_seed0_dims2_ncal400_modeldt_4f030f96,nan,nan,nan,nan,nan,nan,nan,nan,nan
ce_paper_core_v1,regression,0,2,2000,400,2000,0.2,none,dt,"{""max_depth"": 6}",,jackknife_plus,0.1,,null,40,"{""disagreement"": 0.3, ""inv_density"": 0.2, ""nonconformity"": 0.5}",none,run_regression_seed0_dims2_ncal400_modeldt_506d58de,nan,nan,nan,nan,nan,nan,nan,nan,nan
