experiment,task,seed,dims,n_train,n_cal,n_test,shift,holes_label,model,model_params,calib_classification,calib_regression,alpha,calib_thresholded,t_values,knn_k,de_weights,ablation,run_dir,threshold,signal,auc
ce_uncertainty_v1,thresh_reg,2,2,1000,200,1000,0.0,large,dt,"{""max_depth"": 6}",,cross_cp,0.1,interval_map,"""auto""",30,"{""disagreement"": 0.3, ""inv_density"": 0.2, ""nonconformity"": 0.5}",,run_thresh_reg_seed2_dims2_ncal200_modeldt_2af5bca7,t=0.1845,epistemic_density,0.3949375
ce_uncertainty_v1,thresh_reg,2,2,1000,200,1000,0.0,large,dt,"{""max_depth"": 6}",,cross_cp,0.1,interval_map,"""auto""",30,"{""disagreement"": 0.3, ""inv_density"": 0.2, ""nonconformity"": 0.5}",,run_thresh_reg_seed2_dims2_ncal200_modeldt_2af5bca7,t=0.1845,aleatoric_sigma,0.4045375
ce_uncertainty_v1,thresh_reg,2,2,1000,200,1000,0.0,large,dt,"{""max_depth"": 6}",,cross_cp,0.1,interval_map,"""auto""",30,"{""disagreement"": 0.3, ""inv_density"": 0.2, ""nonconformity"": 0.5}",,run_thresh_reg_seed2_dims2_ncal200_modeldt_2af5bca7,t=0.1845,random,0.37903749999999997
ce_uncertainty_v1,thresh_reg,2,2,1000,200,1000,0.0,large,dt,"{""max_depth"": 6}",,cross_cp,0.1,interval_map,"""auto""",30,"{""disagreement"": 0.3, ""inv_density"": 0.2, ""nonconformity"": 0.5}",,run_thresh_reg_seed2_dims2_ncal200_modeldt_2af5bca7,t=0.946,epistemic_de,0.39696249999999994
ce_uncertainty_v1,thresh_reg,2,2,1000,200,1000,0.0,large,dt,"{""max_depth"": 6}",,cross_cp,0.1,interval_map,"""auto""",30,"{""disagreement"": 0.3, ""inv_density"": 0.2, ""nonconformity"": 0.5}",,run_thresh_reg_seed2_dims2_ncal200_modeldt_2af5bca7,t=0.946,epistemic_density,0.4082875000000001
ce_uncertainty_v1,thresh_reg,2,2,1000,200,1000,0.0,large,dt,"{""max_depth"": 6}",,cross_cp,0.1,interval_map,"""auto""",30,"{""disagreement"": 0.3, ""inv_density"": 0.2, ""nonconformity"": 0.5}",,run_thresh_reg_seed2_dims2_ncal200_modeldt_2af5bca7,t=0.946,aleatoric_sigma,0.39085
ce_uncertainty_v1,thresh_reg,2,2,1000,200,1000,0.0,large,dt,"{""max_depth"": 6}",,cross_cp,0.1,interval_map,"""auto""",30,"{""disagreement"": 0.3, ""inv_density"": 0.2, ""nonconformity"": 0.5}",,run_thresh_reg_seed2_dims2_ncal200_modeldt_2af5bca7,t=0.946,random,0.38357500000000005
ce_uncertainty_v1,thresh_reg,2,2,1000,200,1000,0.0,none,dt,"{""max_depth"": 6}",,cross_cp,0.1,interval_map,"""auto""",30,"{""disagreement"": 0.3, ""inv_density"": 0.2, ""nonconformity"": 0.5}",,run_thresh_reg_seed2_dims2_ncal200_modeldt_2b25d43b,t=-0.6966,epistemic_de,0.41057499999999997
ce_uncertainty_v1,thresh_reg,2,2,1000,200,1000,0.0,none,dt,"{""max_depth"": 6}",,cross_cp,0.1,interval_map,"""auto""",30,"{""disagreement"": 0.3, ""inv_density"": 0.2, ""nonconformity"": 0.5}",,run_thresh_reg_seed2_dims2_ncal200_modeldt_2b25d43b,t=-0.6966,epistemic_density,0.39369999999999994
ce_uncertainty_v1,thresh_reg,2,2,1000,200,1000,0.0,none,dt,"{""max_depth"": 6}",,cross_cp,0.1,interval_map,"""auto""",30,"{""disagreement"": 0.3, ""inv_density"": 0.2, ""nonconformity"": 0.5}",,run_thresh_reg_seed2_dims2_ncal200_modeldt_2b25d43b,t=-0.6966,aleatoric_sigma,0.4353625
ce_uncertainty_v1,thresh_reg,2,2,1000,200,1000,0.0,none,dt,"{""max_depth"": 6}",,cross_cp,0.1,interval_map,"""auto""",30,"{""disagreement"": 0.3, ""inv_density"": 0.2, ""nonconformity"": 0.5}",,run_thresh_reg_seed2_dims2_ncal200_modeldt_2b25d43b,t=-0.6966,random,0.399775
ce_uncertainty_v1,thresh_reg,2,2,1000,200,1000,0.0,none,dt,"{""max_depth"": 6}",,cross_cp,0.1,interval_map,"""auto""",30,"{""disagreement"": 0.3, ""inv_density"": 0.2, ""nonconformity"": 0.5}",,run_thresh_reg_seed2_dims2_ncal200_modeldt_2b25d43b,t=0.1845,epistemic_de,0.39504999999999996
ce_uncertainty_v1,thresh_reg,2,2,1000,200,1000,0.0,none,dt,"{""max_depth"": 6}",,cross_cp,0.1,interval_map,"""auto""",30,"{""disagreement"": 0.3, ""inv_density"": 0.2, ""nonconformity"": 0.5}",,run_thresh_reg_seed2_dims2_ncal200_modeldt_2b25d43b,t=0.1845,epistemic_density,0.3992875
ce_uncertainty_v1,thresh_reg,2,2,1000,200,1000,0.0,none,dt,"{""max_depth"": 6}",,cross_cp,0.1,interval_map,"""auto""",30,"{""disagreement"": 0.3, ""inv_density"": 0.2, ""nonconformity"": 0.5}",,run_thresh_reg_seed2_dims2_ncal200_modeldt_2b25d43b,t=0.1845,aleatoric_sigma,0.4056625
ce_uncertainty_v1,thresh_reg,2,2,1000,200,1000,0.0,none,dt,"{""max_depth"": 6}",,cross_cp,0.1,interval_map,"""auto""",30,"{""disagreement"": 0.3, ""inv_density"": 0.2, ""nonconformity"": 0.5}",,run_thresh_reg_seed2_dims2_ncal200_modeldt_2b25d43b,t=0.1845,random,0.3817375
